id	reference	text	theme	mood	image_keywords
1	Isaiah 41:10	Do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you.	fear	calm	misty mountain sunrise golden light
2	Philippians 4:13	I can do all things through Christ who strengthens me.	strength	uplifting	golden wheat field sunlight rays
3	Matthew 11:28	Come to me, all you who are weary and burdened, and I will give you rest.	rest	calm	peaceful ocean shore soft waves
4	Jeremiah 29:11	For I know the plans I have for you, declares the Lord, plans to prosper you and not to harm you, plans to give you hope and a future.	hope	uplifting	open road sunrise horizon
5	Romans 8:28	And we know that in all things God works for the good of those who love him, who have been called according to his purpose.	faith	reflective	forest light through trees morning
6	Psalm 23:1	The Lord is my shepherd; I shall not want.	trust	calm	green valley river serene landscape
7	John 3:16	For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.	love	uplifting	soft sunrise clouds pink sky
8	Proverbs 3:5-6	Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight.	trust	reflective	mountain path misty morning
9	Romans 15:13	May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit.	hope	uplifting	wildflower meadow golden hour
10	2 Timothy 1:7	For God has not given us a spirit of fear, but of power and of love and of a sound mind.	fear	uplifting	dramatic sky storm clearing sunlight
11	Psalm 46:10	Be still, and know that I am God.	peace	calm	still lake reflection dawn
12	Isaiah 40:31	But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary.	strength	uplifting	eagle soaring mountain sky
13	Hebrews 11:1	Now faith is confidence in what we hope for and assurance about what we do not see.	faith	reflective	morning mist lake peaceful
14	1 Corinthians 13:4-5	Love is patient, love is kind. It does not envy, it does not boast, it is not proud.	love	reflective	soft pink flower blooming spring
15	John 14:27	Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid.	peace	calm	calm sea horizon golden light
16	Psalm 34:18	The Lord is close to the brokenhearted and saves those who are crushed in spirit.	comfort	calm	rain window soft bokeh light
17	Romans 5:8	But God demonstrates his own love for us in this: While we were still sinners, Christ died for us.	love	reflective	cross hilltop sunset dramatic sky
18	Joshua 1:9	Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.	courage	uplifting	rocky mountain peak sunrise
19	Psalm 121:1-2	I lift up my eyes to the mountains â€” where does my help come from? My help comes from the Lord, the Maker of heaven and earth.	trust	uplifting	mountain range morning light snow
20	Lamentations 3:22-23	Because of the Lord's great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness.	grace	uplifting	sunrise over ocean new day
21	Matthew 6:34	Therefore do not worry about tomorrow, for tomorrow will worry about itself. Each day has enough trouble of its own.	anxiety	calm	single flower field shallow depth
22	Psalm 55:22	Cast your cares on the Lord and he will sustain you; he will never let the righteous be shaken.	trust	calm	gentle river stones peaceful
23	John 16:33	I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.	peace	uplifting	storm clouds breaking sunlight rays
24	Romans 8:38-39	For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God.	love	uplifting	vast starry night sky cosmos
25	Psalm 91:1	Whoever dwells in the shelter of the Most High will rest in the shadow of the Almighty.	protection	calm	ancient tree shade light filtering
26	Isaiah 26:3	You will keep in perfect peace those whose minds are steadfast, because they trust in you.	peace	calm	zen garden stones water peaceful
27	James 1:2-3	Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, because you know that the testing of your faith produces perseverance.	perseverance	reflective	sunrise after storm golden light
28	Ephesians 3:20	Now to him who is able to do immeasurably more than all we ask or imagine, according to his power that is at work within us.	faith	uplifting	vast ocean horizon infinite
29	Psalm 27:1	The Lord is my light and my salvation â€” whom shall I fear? The Lord is the stronghold of my life â€” of whom shall I be afraid?	fear	uplifting	lighthouse beam ocean night
30	Matthew 5:4	Blessed are those who mourn, for they will be comforted.	comfort	reflective	rain drops window autumn leaves
31	1 Peter 5:7	Cast all your anxiety on him because he cares for you.	anxiety	calm	hands open receiving light
32	Psalm 139:14	I praise you because I am fearfully and wonderfully made; your works are wonderful, I know that full well.	identity	uplifting	golden hour portrait light warm
33	Galatians 5:22-23	But the fruit of the Spirit is love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness and self-control.	spirit	reflective	orchard fruit tree sunlight
34	Isaiah 43:2	When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you.	protection	calm	river crossing stones mist
35	Psalm 37:4	Take delight in the Lord, and he will give you the desires of your heart.	joy	uplifting	sunrise meadow dew morning light
36	John 10:10	I have come that they may have life, and have it to the full.	abundance	uplifting	lush green valley waterfall
37	2 Corinthians 12:9	But he said to me, My grace is sufficient for you, for my power is made perfect in weakness.	grace	reflective	cracked earth rain beginning
38	Psalm 16:8	I keep my eyes always on the Lord. With him at my right hand, I will not be shaken.	trust	calm	steady lighthouse storm sea
39	Nahum 1:7	The Lord is good, a refuge in times of trouble. He cares for those who trust in him.	refuge	calm	cave entrance light outside
40	Romans 12:2	Do not conform to the pattern of this world, but be transformed by the renewing of your mind.	transformation	reflective	butterfly emerging cocoon light
41	Psalm 62:5	Yes, my soul, find rest in God; my hope comes from him.	rest	calm	hammock trees peaceful forest
42	Zephaniah 3:17	The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.	joy	uplifting	father child field golden sunset
43	Ephesians 2:8-9	For it is by grace you have been saved, through faith â€” and this is not from yourselves, it is the gift of God.	grace	reflective	gift box ribbon soft light
44	Psalm 100:4	Enter his gates with thanksgiving and his courts with praise; give thanks to him and praise his name.	gratitude	uplifting	cathedral light morning rays golden
45	Romans 8:1	Therefore, there is now no condemnation for those who are in Christ Jesus.	redemption	uplifting	open door light freedom
46	Matthew 6:33	But seek first his kingdom and his righteousness, and all these things will be given to you as well.	priority	reflective	compass sunrise direction path
47	Psalm 23:4	Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me.	comfort	calm	valley shadow light breaking through
48	Isaiah 54:10	Though the mountains be shaken and the hills be removed, yet my unfailing love for you will not be shaken nor my covenant of peace be removed.	love	calm	mountain stable sunrise permanent
49	John 15:5	I am the vine; you are the branches. If you remain in me and I in you, you will bear much fruit; apart from me you can do nothing.	connection	reflective	vine branches sunlight growing
50	Psalm 19:14	May these words of my mouth and this meditation of my heart be pleasing in your sight, Lord, my Rock and my Redeemer.	prayer	calm	morning journal coffee light window
51	Philippians 4:6-7	Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God.	anxiety	calm	hands folded prayer morning light
52	Isaiah 40:29	He gives strength to the weary and increases the power of the weak.	strength	uplifting	dawn light breaking horizon energy
53	Psalm 145:18	The Lord is near to all who call on him, to all who call on him in truth.	presence	calm	candle flame darkness warm glow
54	John 14:6	Jesus answered, I am the way and the truth and the life. No one comes to the Father except through me.	truth	uplifting	path through forest light ahead
55	Psalm 31:24	Be strong and take heart, all you who hope in the Lord.	courage	uplifting	climber summit sunrise achievement
56	Isaiah 58:11	The Lord will guide you always; he will satisfy your needs in a sun-scorched land and will strengthen your frame.	guidance	uplifting	desert oasis water palm trees
57	Colossians 3:23	Whatever you do, work at it with all your heart, as working for the Lord, not for human masters.	purpose	uplifting	craftsman hands working morning light
58	Psalm 73:26	My flesh and my heart may fail, but God is the strength of my heart and my portion forever.	strength	reflective	heartbeat mountain strong sky
59	Romans 8:31	What, then, shall we say in response to these things? If God is for us, who can be against us?	courage	uplifting	warrior sunrise bold light
60	Psalm 42:11	Why, my soul, are you downcast? Why so disturbed within me? Put your hope in God, for I will yet praise him, my Savior and my God.	hope	reflective	soul stirring water reflection
61	Micah 6:8	He has shown you, O mortal, what is good. And what does the Lord require of you? To act justly and to love mercy and to walk humbly with your God.	justice	reflective	bridge over water calm dawn
62	Psalm 86:5	You, Lord, are forgiving and good, abounding in love to all who call to you.	forgiveness	calm	open arms light embrace
63	Isaiah 61:3	To bestow on them a crown of beauty instead of ashes, the oil of joy instead of mourning, and a garment of praise instead of a spirit of despair.	restoration	uplifting	phoenix sunrise golden transformation
64	Hebrews 4:16	Let us then approach God's throne of grace with confidence, so that we may receive mercy and find grace to help us in our time of need.	grace	uplifting	sunrise throne clouds majestic
65	Psalm 46:1	God is our refuge and strength, an ever-present help in trouble.	refuge	calm	fortress stone strength mountain
